id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
2858586,2016-03-26 09:19:51,2016-03-26,2016-03-26 13:19:51 UTC,Eastern Time (US & Canada),207230,claudemoorepark,2016-03-31 20:58:25 UTC,2018-06-27 15:07:07 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/2858586,https://inaturalist-open-data.s3.amazonaws.com/photos/3261975/medium.jpg?1459457908,,,,2,0,FALSE,,Claude Moore Park,39.018336,-77.402914,6,6,,,FALSE,,,Red Fox,Vulpes vulpes,Red Fox,Mammalia,42069
2919105,2016-04-07,2016-04-07,,Eastern Time (US & Canada),207230,claudemoorepark,2016-04-11 19:56:06 UTC,2018-06-27 15:06:45 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/2919105,https://inaturalist-open-data.s3.amazonaws.com/photos/3341860/medium.jpg?1460404569,,,,2,0,FALSE,,Claude Moore Park,39.017712,-77.402445,6,6,,,FALSE,,,Red Fox,Vulpes vulpes,Red Fox,Mammalia,42069
2919107,2016-04-07,2016-04-07,,Eastern Time (US & Canada),207230,claudemoorepark,2016-04-11 19:56:10 UTC,2018-06-27 15:06:45 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/2919107,https://inaturalist-open-data.s3.amazonaws.com/photos/3341864/medium.jpg?1460404573,,,,2,0,FALSE,,Claude Moore Park,39.017712,-77.402445,6,6,,,FALSE,,,Red Fox,Vulpes vulpes,Red Fox,Mammalia,42069
2995854,2016-04-19 21:27,2016-04-19,2016-04-20 01:27:00 UTC,Eastern Time (US & Canada),207230,claudemoorepark,2016-04-21 19:11:40 UTC,2018-06-27 15:09:25 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/2995854,https://inaturalist-open-data.s3.amazonaws.com/photos/3445295/medium.jpg?1461265902,,,,2,0,FALSE,,Claude Moore Park,39.016529,-77.398784,6,6,,,FALSE,,,Red Fox,Vulpes vulpes,Red Fox,Mammalia,42069
3111858,2016-04-24 01:39:39,2016-04-24,2016-04-24 05:39:39 UTC,Eastern Time (US & Canada),207230,claudemoorepark,2016-05-06 16:04:12 UTC,2018-06-27 15:44:41 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/3111858,https://inaturalist-open-data.s3.amazonaws.com/photos/3597328/medium.jpg?1462550655,,,,2,0,FALSE,,Claude Moore Park,39.017105,-77.403043,3,3,,,FALSE,,,Red Fox,Vulpes vulpes,Red Fox,Mammalia,42069
3111882,2016-04-22 20:50:27,2016-04-22,2016-04-23 00:50:27 UTC,Eastern Time (US & Canada),207230,claudemoorepark,2016-05-06 16:06:38 UTC,2018-07-03 23:15:33 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/3111882,https://inaturalist-open-data.s3.amazonaws.com/photos/3597401/medium.jpg?1462550802,,,,2,0,FALSE,,Claude Moore Park,39.017017,-77.401474,3,3,,,FALSE,,,Red Fox,Vulpes vulpes,Red Fox,Mammalia,42069
3291485,2016-05-22 09:50:46,2016-05-22,2016-05-22 13:50:46 UTC,Eastern Time (US & Canada),207230,claudemoorepark,2016-05-24 17:54:15 UTC,2018-06-27 15:48:46 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/3291485,https://inaturalist-open-data.s3.amazonaws.com/photos/3804558/medium.jpg?1464112459,,,,2,0,FALSE,,Claude Moore Park,39.019914,-77.40576,3,3,,,FALSE,,,Red Fox,Vulpes vulpes,Red Fox,Mammalia,42069
3291492,2016-05-21 07:58:43,2016-05-21,2016-05-21 11:58:43 UTC,Eastern Time (US & Canada),207230,claudemoorepark,2016-05-24 17:55:04 UTC,2018-07-03 23:17:50 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/3291492,https://inaturalist-open-data.s3.amazonaws.com/photos/3804565/medium.jpg?1464112507,,,,2,0,FALSE,,Claude Moore Park,39.019914,-77.40576,3,3,,,FALSE,,,Red Fox,Vulpes vulpes,Red Fox,Mammalia,42069
3291499,2016-05-21 07:17:27,2016-05-21,2016-05-21 11:17:27 UTC,Eastern Time (US & Canada),207230,claudemoorepark,2016-05-24 17:57:00 UTC,2017-11-09 23:38:01 UTC,needs_id,CC-BY-NC,http://www.inaturalist.org/observations/3291499,https://inaturalist-open-data.s3.amazonaws.com/photos/3804577/medium.jpg?1464112624,,,,0,0,FALSE,,Claude Moore Park,39.020016,-77.405895,3,3,,,FALSE,,,Red Fox,Vulpes vulpes,Red Fox,Mammalia,42069
3306477,2016-05-24 18:55:42,2016-05-24,2016-05-24 22:55:42 UTC,Eastern Time (US & Canada),207230,claudemoorepark,2016-05-26 15:45:13 UTC,2018-06-27 15:48:40 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/3306477,https://inaturalist-open-data.s3.amazonaws.com/photos/3821696/medium.jpg?1464277517,,,,2,0,FALSE,,Claude Moore Park,39.01998,-77.405671,6,6,,,FALSE,,,Red Fox,Vulpes vulpes,Red Fox,Mammalia,42069
3855089,Thu Jun 09 2016 10:27:50 GMT-0400 (EDT),2016-06-09,2016-06-09 14:27:50 UTC,Eastern Time (US & Canada),294621,ginid,2016-08-10 23:25:37 UTC,2018-07-03 23:19:25 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/3855089,https://inaturalist-open-data.s3.amazonaws.com/photos/4515974/medium.jpg?1470871548,,,,3,0,FALSE,3,"Virginia, US",39.0654805607,-77.5844646053,,28151,obscured,,TRUE,,,Red Fox,Vulpes vulpes,Red Fox,Mammalia,42069
4870263,2016/11/07 9:30 AM EST,2016-11-07,2016-11-07 14:30:00 UTC,Eastern Time (US & Canada),384982,stev0matic,2016-12-30 22:13:13 UTC,2017-11-10 03:22:22 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/4870263,https://inaturalist-open-data.s3.amazonaws.com/photos/5917451/medium.jpg?1483135870,,,,1,0,FALSE,,"Sterling, VA, USA",39.0162781148,-77.399969101,31,31,,,FALSE,,,American Red Fox,Vulpes vulpes fulvus,Eastern American Red Fox,Mammalia,126770
10957966,Mon Apr 09 2018 19:31:40 GMT-0400 (EDT),2018-04-09,2018-04-09 23:31:40 UTC,Eastern Time (US & Canada),814872,jane85,2018-04-15 12:01:45 UTC,2018-06-18 23:51:38 UTC,research,,https://www.inaturalist.org/observations/10957966,https://static.inaturalist.org/photos/15418096/medium.jpg?1523793732,,,,2,0,FALSE,3,"21225 Greenspring Ct, Ashburn, VA, US",39.0290638333,-77.4954083333,10,10,,,FALSE,,,Red Fox,Vulpes vulpes,Red Fox,Mammalia,42069
